 Сортировка Шелла (последовательность Пратта), Отсортированный, 60000, 0.0622301 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный, 70000, 0.0751112 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный, 80000, 0.0881922 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный, 90000, 0.100592 сек
 Сортировка Шелла (последовательность Пратта), Отсортированный, 100000, 0.113335 сек
 Быстрая сортировка, Случайный, 1000, 0.0002136 сек
 Быстрая сортировка, Случайный, 10000, 0.0029713 сек
 Быстрая сортировка, Случайный, 20000, 0.0061694 сек
 Быстрая сортировка, Случайный, 30000, 0.010311 сек
 Быстрая сортировка, Случайный, 40000, 0.0130378 сек
 Быстрая сортировка, Случайный, 50000, 0.0183255 сек
 Быстрая сортировка, Случайный, 60000, 0.0210696 сек
 Быстрая сортировка, Случайный, 70000, 0.0280484 сек
 Быстрая сортировка, Случайный, 80000, 0.0278775 сек
 Быстрая сортировка, Случайный, 90000, 0.0358389 сек
 Быстрая сортировка, Случайный, 100000, 0.0367222 сек
 Быстрая сортировка, Почти отсортированный, 1000, 0.0009566 сек
 Быстрая сортировка, Почти отсортированный, 10000, 0.0826202 сек
 Быстрая сортировка, Почти отсортированный, 20000, 0.3260942 сек
 Быстрая сортировка, Почти отсортированный, 30000, 0.7795223 сек
 Быстрая сортировка, Почти отсортированный, 40000, 1.1363325 сек
 Быстрая сортировка, Почти отсортированный, 50000, 1.9576934 сек
 Быстрая сортировка, Почти отсортированный, 60000, 2.7824818 сек
 Быстрая сортировка, Почти отсортированный, 70000, 3.5975470 сек
 Быстрая сортировка, Почти отсортированный, 80000, 4.5333755 сек
 Быстрая сортировка, Почти отсортированный, 90000, 6.3595637 сек
 Быстрая сортировка, Почти отсортированный, 100000, 7.8913136 сек
Быстрая сортировка, Отсортированный в обратном порядке, 1000, 0.6073269 сек
Быстрая сортировка, Отсортированный в обратном порядке, 10000, 1.1122846 сек
Быстрая сортировка, Отсортированный в обратном порядке, 20000, 2.2392847 сек
Быстрая сортировка, Отсортированный в обратном порядке, 30000, 5.0246728 сек
Быстрая сортировка, Отсортированный в обратном порядке, 40000, 8.957052 сек
Быстрая сортировка, Отсортированный в обратном порядке, 50000, 13.9823540 сек
Быстрая сортировка, Отсортированный в обратном порядке, 60000, 21.1267349 сек
Быстрая сортировка, Отсортированный в обратном порядке, 70000, 27.4946006 сек
Быстрая сортировка, Отсортированный в обратном порядке, 80000, 35.7306436 сек
Быстрая сортировка, Отсортированный в обратном порядке, 90000, 46.2961679 сек
Быстрая сортировка, Отсортированный в обратном порядке, 100000, 55.7968307 сек
Быстрая сортировка, Отсортированный, 1000, 0.0003267 сек
Быстрая сортировка, Отсортированный, 10000, 0.0046145 сек
